input,label
? ɪ ʃ,almost
aɪ ?,almost
??? ???,incorrect
? ə n æ n ə,almost
dʒ ʌ ŋ ɡ ə l,correct
??? ???,incorrect
??? ???,incorrect
??? ???,incorrect
d ? ɡ,almost
dʒ ʌ ŋ ? ə l,almost
??? ???,incorrect
??? ???,incorrect
ɛ l ? f ə n t,almost
??? ???,incorrect
aɪ ?,almost
? æ t,almost
k ? t,almost
f ɪ ?,almost
æ p ə l,correct
æ p ə ?,almost
ɡ r ? p,almost
??? ???,incorrect
??? ???,incorrect
ɛ l ə f ə n t,correct
??? ???,incorrect
??? ???,incorrect
??? ???,incorrect
ɡ r eɪ ?,almost
??? ???,incorrect
h æ t,correct
ɡ r eɪ p,correct
f ɪ ʃ,correct
k æ t,correct
??? ???,incorrect
? p ə l,almost
??? ???,incorrect
??? ???,incorrect
dʒ ʌ ŋ ɡ ? l,almost
k ? t,almost
aɪ s,correct
??? ???,incorrect
b ə n æ n ə,correct
b ə ? æ n ə,almost
ɛ l ə ? ə n t,almost
h ? t,almost
??? ???,incorrect
??? ???,incorrect
d ? ɡ,almost
d ɔ ɡ,correct
??? ???,incorrect
